id|Title|Brand|Type|Sex|Size|SizeParams|SizeArray|Color|Country|Price|Image
814|Орлова Екатерина / Свитер для собак /кошек|Орлова Екатерина|свитер|самка|для мелких пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват шеи, в см;Длина спины, в см;|S,S,28-33,18-23,17-23;M,M,34-40,23-27,23-28;L,L,40-45,27-31,28-35;XL,XL,50,32,33;|сиреневый|Россия|1100|images.wbstatic.net/c516x688/new/6230000/6235560-1.jpg
815|Удачная покупка / Комбинезон для домашнего животного|Удачная покупка|комбинезон|самец|для средних пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват шеи, в см;Длина, в см;|S,S,36,28,21;M,M,42,32,25;L,L,46,38,30;XL,XL,50,42,35;|розовый|Китай|1689|images.wbstatic.net/c516x688/new/7710000/7713038-1.jpg
816|LUCKY DOG / Комбинезон утепленный для собак мелких пород, унисекс|LUCKY DOG|капюшон; комбинезон|унисекс|для мелких пород|Российский размер;Размер производителя;Обхват груди, в см;Длина спинки, в см;|L-мелкие,L,41-45,32-35;M-мелкие,M,35-40,27-31;S-мелкие,S,30-34,22-26;XL-мелкие,XL,45-50,36-39;|лазурный, синий|Россия|2640|images.wbstatic.net/c516x688/new/4770000/4773257-1.jpg
817|Adidog / Одежда для собак мелких и средних пород. Костюм для собак. Чихуахуа. Чау-чау. Йорк. Корги.|Adidog||унисекс|для мелких пород|Российский размер;Размер производителя;Длина спины, в см;|30,M,30;|серый||1190|images.wbstatic.net/c516x688/new/18260000/18260568-1.jpg
818|ForMyDogs / Утепленный комбинезон для собак (унисекс)|ForMyDogs||унисекс|для мелких пород; для средних пород|Российский размер;Размер производителя;Обхват груди, в см;Длина спинки, в см;|8,8,27,21;9,10,32,24;10,10Chh,34,24;11,12,36,27;12,12Chh,38,27;16,20,52,39;|синий||3860|images.wbstatic.net/c516x688/new/18530000/18533349-1.jpg
819|Mellingward / Свитер для собаки меланжевый, синий|Mellingward|свитер||для мелких пород|Российский размер;Размер производителя;Длина спины, в см;|45,45,45;|синий|Китай|1500|images.wbstatic.net/c516x688/new/17040000/17048939-1.jpg
820|Тузик / Мембрана на флисе для кобеля Джек Рассел Терьер|Тузик|комбинезон|самец||Российский размер;Размер производителя;Обхват груди, в см;Обхват талии, в см;Обхват шеи, в см;Длина спины, в см;Рост в холке, в см;|Джек рассел,Джек рассел,55-57,46-47,36,36-40,37;||Россия|3900|images.wbstatic.net/c516x688/new/17570000/17579001-1.jpg
821|Yoriki / Комбинезон Микросхема|Yoriki|комбинезон|самец|для мелких пород; для средних пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват шеи, в см;Длина спины, в см;|L-мелкие,L,41-47,27-31,28;M-мелкие,M,35-42,23-28,24;S-мелкие,S,29-36,20-24,20;XL-мелкие,XL,46-53,30-34,32;|голубой|Россия|3026|images.wbstatic.net/c516x688/new/10460000/10463697-1.jpg
822|PUPPIA / Плащ для собак со светоотражающими лентами "Base Jumper", камуфляж, 5XL|PUPPIA|плащ|унисекс||Российский размер;Размер производителя;Обхват груди, в см;Обхват шеи, в см;Длина тела, в см;|5XL,5XL,94,57,62;|хаки||5588|images.wbstatic.net/c516x688/new/15480000/15484169-1.jpg
823|Mellingward / Свитер для собаки "Бегущие олени"|Mellingward|свитер||для мелких пород|Российский размер;Размер производителя;Длина спины, в см;|45,46,45;||Китай|2472|images.wbstatic.net/c516x688/new/17040000/17048953-1.jpg
